LGA_CODE,LGA_NAME,median_nonstrata,median_strata
LGA10050,Albury,352.0,212.0
LGA10130,Armidale Regional,360.0,0.0
LGA10250,Ballina,640.0,515.0
LGA10300,Balranald,0.0,0.0
LGA10470,Bathurst Regional,435.0,310.0
LGA10550,Bega Valley,485.0,290.0
LGA10600,Bellingen,533.0,0.0
LGA10650,Berrigan,249.0,0.0
LGA10750,Blacktown,684.0,525.0
LGA10800,Bland,163.0,0.0
LGA10850,Blayney,395.0,0.0
LGA10900,Blue Mountains,650.0,551.0
LGA10950,Bogan,0.0,0.0
LGA11150,Bourke,0.0,0.0
LGA11250,Broken Hill,133.0,0.0
LGA11300,Burwood,1249.0,695.0
LGA11350,Byron,945.0,753.0
LGA11400,Cabonne,210.0,0.0
LGA11450,Camden,700.0,489.0
LGA11500,Campbelltown,571.0,420.0
LGA11520,Canada Bay,1688.0,854.0
LGA11570,Canterbury-Bankstown,855.0,547.0
LGA11600,Carrathool,0.0,0.0
LGA11650,Central Coast,620.0,490.0
LGA11720,Cessnock,400.0,278.0
LGA11730,Clarence Valley,393.0,375.0
LGA11750,Cobar,0.0,0.0
LGA11800,Coffs Harbour,545.0,328.0
LGA12000,Coolamon,205.0,0.0
LGA12150,Coonamble,0.0,0.0
LGA13510,Gundagai,239.0,0.0
LGA12350,Cowra,257.0,0.0
LGA12380,Cumberland,770.0,538.0
LGA18230,Western Plains Regional,350.0,0.0
LGA12700,Dungog,453.0,0.0
LGA12730,Edward River,240.0,0.0
LGA12750,Eurobodalla,490.0,318.0
LGA12850,Fairfield,719.0,421.0
LGA12870,Federation,260.0,0.0
LGA12900,Forbes,229.0,0.0
LGA12930,Georges River,1200.0,650.0
LGA12950,Gilgandra,169.0,0.0
LGA13010,Glen Innes Severn,203.0,0.0
LGA13310,Goulburn Mulwaree,410.0,0.0
LGA13340,Greater Hume Shire,199.0,0.0
LGA13450,Griffith,355.0,0.0
LGA13550,Gunnedah,315.0,0.0
LGA13660,Gwydir,0.0,0.0
LGA13800,Hawkesbury,750.0,470.0
LGA13850,Hay,0.0,0.0
LGA13910,Hilltops,250.0,0.0
LGA14000,Hornsby,1175.0,646.0
LGA14100,Hunters Hill,2500.0,1620.0
LGA14170,Inner West,1353.0,699.0
LGA14200,Inverell,255.0,0.0
LGA14300,Junee,0.0,0.0
LGA14350,Kempsey,341.0,0.0
LGA14400,Kiama,833.0,610.0
LGA14500,Ku-Ring-Gai,1910.0,880.0
LGA14550,Kyogle,284.0,0.0
LGA14600,Lachlan,137.0,0.0
LGA14650,Lake Macquarie,580.0,447.0
LGA14700,Lane Cove,2000.0,777.0
LGA14750,Leeton,253.0,0.0
LGA14850,Lismore,382.0,280.0
LGA14870,Lithgow,345.0,0.0
LGA14900,Liverpool,750.0,522.0
LGA14920,Liverpool Plains,223.0,0.0
LGA14950,Lockhart,0.0,0.0
LGA15050,Maitland,470.0,340.0
LGA15240,Mid-Coast,415.0,365.0
LGA15270,Mid-Western Regional,408.0,0.0
LGA15300,Moree Plains,193.0,0.0
LGA15350,Mosman,3603.0,963.0
LGA15520,Murray River,320.0,0.0
LGA15560,Murrumbidgee,0.0,0.0
LGA15650,Muswellbrook,325.0,0.0
LGA15700,Nambucca,400.0,0.0
LGA15750,Narrabri,250.0,0.0
LGA15800,Narrandera,186.0,0.0
LGA15850,Narromine,0.0,0.0
LGA15900,Newcastle,600.0,510.0
LGA15950,North Sydney,2278.0,1043.0
LGA15990,Northern Beaches,1600.0,800.0
LGA16100,Oberon,385.0,0.0
LGA16150,Orange,412.0,261.0
LGA16200,Parkes,276.0,0.0
LGA16260,Parramatta,1010.0,647.0
LGA16350,Penrith,643.0,460.0
LGA16380,Port Macquarie-Hastings,563.0,398.0
LGA16400,Port Stephens,583.0,400.0
LGA16490,Queanbeyan-Palerang Regional,639.0,350.0
LGA16550,Randwick,1960.0,860.0
LGA16610,Richmond Valley,300.0,0.0
LGA16700,Ryde,1335.0,685.0
LGA16900,Shellharbour,630.0,490.0
LGA16950,Shoalhaven,560.0,403.0
LGA17000,Singleton,428.0,310.0
LGA17040,Snowy Monaro Regional,350.0,354.0
LGA17080,Snowy Valleys,260.0,0.0
LGA17100,Strathfield,2250.0,633.0
LGA17150,Sutherland Shire,1050.0,700.0
LGA17200,Sydney,1500.0,840.0
LGA17310,Tamworth Regional,335.0,0.0
LGA17350,Temora,250.0,0.0
LGA17400,Tenterfield,240.0,0.0
LGA17420,The Hills Shire,1128.0,721.0
LGA17550,Tweed,645.0,440.0
LGA17620,Upper Hunter Shire,338.0,0.0
LGA17640,Upper Lachlan Shire,390.0,0.0
LGA17650,Uralla,343.0,0.0
LGA17750,Wagga Wagga,344.0,272.0
LGA17850,Walcha,0.0,0.0
LGA17900,Walgett,0.0,0.0
LGA17950,Warren,0.0,0.0
LGA18020,Warrumbungle Shire,160.0,0.0
LGA18050,Waverley,2620.0,1100.0
LGA18100,Weddin,0.0,0.0
LGA18200,Wentworth,298.0,0.0
LGA18250,Willoughby,2105.0,883.0
LGA18350,Wingecarribee,790.0,530.0
LGA18400,Wollondilly,670.0,0.0
LGA18450,Wollongong,678.0,543.0
LGA18500,Woollahra,3960.0,1310.0
LGA18710,Yass Valley,664.0,0.0
