LGA_CODE,LGA_NAME,mean_sales
LGA10050,Albury,320.42552
LGA10130,Armidale Regional,361.56796
LGA10250,Ballina,616.27321
LGA10300,Balranald,0.0
LGA10470,Bathurst Regional,426.22967
LGA10550,Bega Valley,431.58223
LGA10600,Bellingen,556.7894699999999
LGA10650,Berrigan,241.62121
LGA10750,Blacktown,750.62768
LGA10800,Bland,185.63043
LGA10850,Blayney,324.76562
LGA10900,Blue Mountains,702.10836
LGA10950,Bogan,0.0
LGA11150,Bourke,0.0
LGA11200,Brewarrina,0.0
LGA11250,Broken Hill,109.88417999999999
LGA11300,Burwood,4199.15062
LGA11350,Byron,1018.46795
LGA11400,Cabonne,372.15322
LGA11450,Camden,773.5414599999999
LGA11500,Campbelltown,624.46107
LGA11520,Canada Bay,1430.408
LGA11570,Canterbury-Bankstown,892.57362
LGA11600,Carrathool,0.0
LGA11650,Central Coast,678.16296
LGA11720,Cessnock,387.0162
LGA11730,Clarence Valley,390.48082
LGA11750,Cobar,182.04762
LGA11800,Coffs Harbour,490.92133
LGA12000,Coolamon,223.25882000000001
LGA12150,Coonamble,128.64286
LGA13510,Gundagai,268.97614
LGA12350,Cowra,225.25
LGA12380,Cumberland,777.61983
LGA18230,Western Plains Regional,342.39276
LGA12700,Dungog,594.2710500000001
LGA12730,Edward River,239.22
LGA12750,Eurobodalla,453.50409
LGA12850,Fairfield,771.48273
LGA12870,Federation,282.92857
LGA12900,Forbes,275.46296
LGA12930,Georges River,1125.14247
LGA12950,Gilgandra,0.0
LGA13010,Glen Innes Severn,207.52439
LGA13310,Goulburn Mulwaree,443.84633
LGA13340,Greater Hume Shire,271.91026
LGA13450,Griffith,324.03634999999997
LGA13550,Gunnedah,381.238
LGA13660,Gwydir,0.0
LGA13800,Hawkesbury,926.04409
LGA13850,Hay,135.28125
LGA13910,Hilltops,261.06635
LGA14000,Hornsby,1260.76074
LGA14100,Hunters Hill,2181.70192
LGA14170,Inner West,1308.09997
LGA14200,Inverell,270.78560999999996
LGA14300,Junee,282.75789000000003
LGA14350,Kempsey,348.42168
LGA14400,Kiama,857.60761
LGA14500,Ku-Ring-Gai,2056.89953
LGA14550,Kyogle,300.85134999999997
LGA14600,Lachlan,153.57143
LGA14650,Lake Macquarie,577.91147
LGA14700,Lane Cove,1964.9262800000001
LGA14750,Leeton,248.57895000000002
LGA14850,Lismore,417.40790000000004
LGA14870,Lithgow,378.3517
LGA14900,Liverpool,766.38361
LGA14920,Liverpool Plains,229.61111
LGA14950,Lockhart,0.0
LGA15050,Maitland,449.36428
LGA15240,Mid-Coast,435.65110999999996
LGA15270,Mid-Western Regional,378.70584
LGA15300,Moree Plains,175.16667
LGA15350,Mosman,2475.62025
LGA15520,Murray River,320.4
LGA15560,Murrumbidgee,0.0
LGA15650,Muswellbrook,303.15833000000003
LGA15700,Nambucca,373.27439000000004
LGA15750,Narrabri,319.93528999999995
LGA15800,Narrandera,160.55555999999999
LGA15850,Narromine,223.28125
LGA15900,Newcastle,647.63595
LGA15950,North Sydney,1561.33325
LGA15990,Northern Beaches,1522.8119199999999
LGA16100,Oberon,579.525
LGA16150,Orange,389.39979
LGA16200,Parkes,245.07895000000002
LGA16260,Parramatta,964.38364
LGA16350,Penrith,680.92443
LGA16380,Port Macquarie-Hastings,598.63496
LGA16400,Port Stephens,517.05738
LGA16490,Queanbeyan-Palerang Regional,527.2712700000001
LGA16550,Randwick,1592.7126
LGA16610,Richmond Valley,307.92292
LGA16700,Ryde,1205.04738
LGA16900,Shellharbour,664.66019
LGA16950,Shoalhaven,572.94064
LGA17000,Singleton,462.31187
LGA17040,Snowy Monaro Regional,340.01048
LGA17080,Snowy Valleys,246.79839
LGA17100,Strathfield,1192.2253600000001
LGA17150,Sutherland Shire,1226.8475
LGA17200,Sydney,1139.81761
LGA17310,Tamworth Regional,353.32502
LGA17350,Temora,243.0
LGA17400,Tenterfield,263.88889
LGA17420,The Hills Shire,1328.12517
LGA17550,Tweed,554.32615
LGA17620,Upper Hunter Shire,332.90813
LGA17640,Upper Lachlan Shire,376.44444
LGA17650,Uralla,375.41176
LGA17750,Wagga Wagga,365.15753
LGA17850,Walcha,0.0
LGA17900,Walgett,0.0
LGA17950,Warren,0.0
LGA18020,Warrumbungle Shire,219.70588
LGA18050,Waverley,1779.33116
LGA18100,Weddin,0.0
LGA18200,Wentworth,228.09143
LGA18250,Willoughby,1805.13799
LGA18350,Wingecarribee,986.62005
LGA18400,Wollondilly,870.19774
LGA18450,Wollongong,739.8375
LGA18500,Woollahra,2758.40133
LGA18710,Yass Valley,609.59669
